Week,FirmID,Strategy,Price,UnitsSold,Revenue,Profit,TrendScore,TrendVolatility
1,0,promotion,9.0,11.970926806652345,107.7383412598711,47.88370722660938,0.2944372881707424,0.0
1,1,promotion,9.0,11.970926806652345,107.7383412598711,47.88370722660938,0.2944372881707424,0.0
1,2,promotion,9.0,11.970926806652345,107.7383412598711,47.88370722660938,0.2944372881707424,0.0
2,0,promotion,9.0,12.272402719934203,110.45162447940783,49.08961087973681,0.30185239911321177,0.0
2,1,promotion,9.0,12.272402719934203,110.45162447940783,49.08961087973681,0.30185239911321177,0.0
2,2,promotion,9.0,12.272402719934203,110.45162447940783,49.08961087973681,0.30185239911321177,0.0
3,0,markdown,8.0,13.50361476837213,108.02891814697703,40.510844305116386,0.3005284734960751,0.13282828101321267
3,1,markdown,8.0,13.50361476837213,108.02891814697703,40.510844305116386,0.3005284734960751,0.13282828101321267
3,2,markdown,8.0,13.50361476837213,108.02891814697703,40.510844305116386,0.3005284734960751,0.13282828101321267
4,0,markdown,8.0,13.42678585779681,107.41428686237448,40.28035757339043,0.2988186146463065,0.10040874246776095
4,1,markdown,8.0,13.42678585779681,107.41428686237448,40.28035757339043,0.2988186146463065,0.10040874246776095
4,2,markdown,8.0,13.42678585779681,107.41428686237448,40.28035757339043,0.2988186146463065,0.10040874246776095
5,0,none,10.0,10.675460497373937,106.75460497373936,53.37730248686968,0.2901891028044393,0.025102185616940397
5,1,promotion,9.0,11.798208478763064,106.18387630886757,47.192833915052255,0.2901891028044393,0.025102185616940397
5,2,promotion,9.0,11.798208478763064,106.18387630886757,47.192833915052255,0.2901891028044393,0.025102185616940397
6,0,none,10.0,10.59849692313546,105.9849692313546,52.9924846156773,0.28809701595138226,0.0434782608695652
6,1,none,10.0,10.59849692313546,105.9849692313546,52.9924846156773,0.28809701595138226,0.0434782608695652
6,2,promotion,9.0,11.713150574763544,105.4183551728719,46.852602299054176,0.28809701595138226,0.0434782608695652
7,0,markdown,8.0,13.003610126570564,104.02888101256451,39.01083037971169,0.2894006655484191,0.18101443473618561
7,1,markdown,8.0,13.003610126570564,104.02888101256451,39.01083037971169,0.2894006655484191,0.18101443473618561
7,2,markdown,8.0,13.003610126570564,104.02888101256451,39.01083037971169,0.2894006655484191,0.18101443473618561
8,0,markdown,8.0,12.992327825777155,103.93862260621724,38.976983477331466,0.28914957332658614,0.13976305450714444
8,1,markdown,8.0,12.992327825777155,103.93862260621724,38.976983477331466,0.28914957332658614,0.13976305450714444
8,2,markdown,8.0,12.992327825777155,103.93862260621724,38.976983477331466,0.28914957332658614,0.13976305450714444
9,0,markdown,8.0,12.942754290215575,103.5420343217246,38.828262870646725,0.28804629400296244,0.17571529931858187
9,1,markdown,8.0,12.942754290215575,103.5420343217246,38.828262870646725,0.28804629400296244,0.17571529931858187
9,2,markdown,8.0,12.942754290215575,103.5420343217246,38.828262870646725,0.28804629400296244,0.17571529931858187
10,0,markdown,8.0,12.923263977103106,103.38611181682485,38.76979193130932,0.2876125291075531,0.07530655685082087
10,1,markdown,8.0,12.923263977103106,103.38611181682485,38.76979193130932,0.2876125291075531,0.07530655685082087
10,2,markdown,8.0,12.923263977103106,103.38611181682485,38.76979193130932,0.2876125291075531,0.07530655685082087
