Strategy,Revenue,Profit,UnitsSold,ROI,ElasticityK,Run
markdown,343.3541450933463,128.75780441000487,42.919268136668286,0.375,8,17
none,811.7635911038718,405.8817955519359,81.17635911038718,0.5,8,17
promotion,913.0850644453586,405.8155841979372,101.4538960494843,0.4444444444444445,8,17
markdown,711.2335862647885,266.7125948492957,88.90419828309857,0.37500000000000006,8,18
none,537.1964941128564,268.5982470564282,53.719649411285644,0.5,8,18
promotion,827.8637917637917,367.9394630061297,91.98486575153242,0.44444444444444453,8,18
markdown,551.8191617571636,206.9321856589363,68.97739521964544,0.37499999999999994,8,19
none,847.5766907113956,423.7883453556978,84.75766907113956,0.5,8,19
promotion,669.5957139265964,297.5980950784873,74.39952376962182,0.4444444444444444,8,19
markdown,1348.8912842952886,505.83423161073324,168.61141053691108,0.375,8,20
none,370.0686959444122,185.0343479722061,37.00686959444121,0.5,8,20
promotion,365.2340257781434,162.32623367917486,40.581558419793716,0.4444444444444445,8,20
markdown,846.1227146943174,317.29601801036904,105.76533933678968,0.375,8,21
none,477.5079947669834,238.7539973834917,47.75079947669835,0.5,8,21
promotion,754.8169866081631,335.47421627029473,83.86855406757368,0.4444444444444445,8,21
markdown,539.5565137181156,202.33369264429336,67.44456421476445,0.375,8,22
none,704.3242922813006,352.1621461406503,70.43242922813006,0.5,8,22
promotion,827.8637917637917,367.93946300612964,91.98486575153241,0.4444444444444444,8,22
markdown,784.809474499077,294.3035529371539,98.10118431238463,0.375,8,23
none,286.5047968601901,143.25239843009504,28.65047968601901,0.5,8,23
promotion,1010.4808046528634,449.10257984571706,112.27564496142926,0.4444444444444444,8,23
markdown,968.7491950847981,363.2809481567993,121.09364938559976,0.375,8,24
none,596.8849934587294,298.4424967293647,59.68849934587294,0.5,8,24
promotion,511.3276360894008,227.25672715084482,56.814181787711206,0.4444444444444445,8,24
markdown,637.6576980305001,239.12163676143757,79.70721225381251,0.37500000000000006,8,25
none,596.8849934587292,298.4424967293646,59.68849934587293,0.5,8,25
promotion,840.0382592897299,373.3503374621022,93.33758436552554,0.4444444444444444,8,25
markdown,600.8697539133559,225.32615771750847,75.10871923916949,0.375,8,26
none,823.7012909730465,411.85064548652326,82.37012909730466,0.5,8,26
promotion,645.24677887472,286.7763461665422,71.69408654163556,0.4444444444444444,8,26
markdown,772.546826460029,289.7050599225109,96.56835330750363,0.375,8,27
none,537.1964941128564,268.5982470564282,53.719649411285644,0.5,8,27
promotion,766.9914541341011,340.88509072626715,85.22127268156679,0.4444444444444444,8,27
markdown,600.8697539133559,225.32615771750847,75.10871923916949,0.375,8,28
none,596.8849934587292,298.4424967293646,59.68849934587293,0.5,8,28
promotion,876.5616618675442,389.58296083001966,97.39574020750491,0.4444444444444445,8,28
markdown,576.3444578352597,216.12917168822239,72.04305722940747,0.375,8,29
none,573.0095937203802,286.5047968601901,57.30095937203802,0.5,8,29
promotion,925.2595319712967,411.2264586539096,102.8066146634774,0.4444444444444444,8,29
markdown,968.7491950847982,363.28094815679935,121.09364938559978,0.37500000000000006,8,30
none,728.1996920196498,364.0998460098249,72.81996920196498,0.5,8,30
promotion,377.4084933040815,167.73710813514734,41.934277033786834,0.4444444444444445,8,30
markdown,870.6480107724134,326.49300403965503,108.83100134655167,0.375,8,31
none,561.0718938512057,280.53594692560284,56.10718938512056,0.5,8,31
promotion,645.2467788747201,286.7763461665423,71.69408654163557,0.4444444444444445,8,31
markdown,478.2432735228752,179.3412275710782,59.7804091903594,0.375,8,32
none,764.0127916271736,382.0063958135868,76.40127916271736,0.5,8,32
promotion,827.8637917637917,367.93946300612964,91.98486575153241,0.4444444444444444,8,32
markdown,171.67707254667314,64.37890220500243,21.459634068334143,0.375,8,33
none,847.5766907113957,423.78834535569786,84.75766907113957,0.5,8,33
promotion,1047.0042072306778,465.3352032136346,116.33380080340865,0.4444444444444445,8,33
markdown,772.546826460029,289.7050599225109,96.56835330750363,0.375,8,34
none,262.6293971218407,131.31469856092036,26.262939712184075,0.5,8,34
promotion,1047.0042072306778,465.33520321363466,116.33380080340866,0.44444444444444453,8,34
markdown,1164.9515637095674,436.8568363910877,145.61894546369592,0.37499999999999994,8,35
none,358.1309960752376,179.0654980376188,35.81309960752376,0.5,8,35
promotion,560.0255061931534,248.90022497473484,62.22505624368371,0.4444444444444444,8,35
markdown,355.6167931323943,133.35629742464786,44.45209914154929,0.375,8,36
none,668.5111926737769,334.25559633688846,66.8511192673777,0.5,8,36
promotion,1047.0042072306778,465.3352032136346,116.33380080340865,0.4444444444444445,8,36
markdown,735.7588823428847,275.9095808785818,91.96986029286059,0.375,8,37
none,823.7012909730465,411.85064548652326,82.37012909730466,0.5,8,37
promotion,511.3276360894008,227.25672715084482,56.814181787711206,0.4444444444444445,8,37
markdown,907.4359548895578,340.2884830835842,113.42949436119473,0.375,8,38
none,680.4488925429515,340.22444627147576,68.04488925429516,0.5,8,38
promotion,486.97870103752456,216.43497823889982,54.108744559724954,0.4444444444444445,8,38
markdown,551.8191617571636,206.9321856589363,68.97739521964544,0.37499999999999994,8,39
none,835.6389908422211,417.81949542111056,83.56389908422211,0.5,8,39
promotion,681.7701814525344,303.00896953445977,75.75224238361494,0.4444444444444445,8,39
markdown,674.4456421476442,252.9171158053666,84.30570526845553,0.375,8,40
none,573.0095937203802,286.5047968601901,57.30095937203802,0.5,8,40
promotion,827.8637917637918,367.9394630061297,91.98486575153242,0.4444444444444444,8,40
markdown,1005.5371392019426,377.07642720072846,125.69214240024283,0.37499999999999994,8,41
none,596.8849934587292,298.4424967293646,59.68849934587293,0.5,8,41
promotion,474.80423351158635,211.02410378292726,52.756025945731814,0.4444444444444444,8,41
markdown,870.6480107724136,326.4930040396551,108.8310013465517,0.375,8,42
none,811.7635911038718,405.8817955519359,81.17635911038718,0.5,8,42
promotion,389.5829608300197,173.14798259111987,43.28699564777997,0.4444444444444444,8,42
markdown,907.4359548895575,340.2884830835841,113.42949436119468,0.37500000000000006,8,43
none,931.140589795618,465.570294897809,93.1140589795618,0.5,8,43
promotion,231.31488299282427,102.80661466347746,25.701653665869365,0.4444444444444445,8,43
markdown,637.6576980305001,239.12163676143754,79.70721225381251,0.375,8,44
none,752.0750917579988,376.0375458789994,75.20750917579988,0.5,8,44
promotion,681.7701814525344,303.00896953445977,75.75224238361494,0.4444444444444445,8,44
markdown,956.4865470457502,358.6824551421563,119.56081838071877,0.375,8,45
none,310.3801965985393,155.19009829926966,31.038019659853934,0.5,8,45
promotion,815.6893242378535,362.5285885501571,90.63214713753928,0.4444444444444444,8,45
markdown,625.3950499914521,234.52314374679455,78.17438124893151,0.375,8,46
none,680.4488925429515,340.22444627147576,68.04488925429516,0.5,8,46
promotion,766.9914541341011,340.88509072626715,85.22127268156679,0.4444444444444444,8,46
markdown,784.809474499077,294.3035529371539,98.10118431238463,0.375,8,47
none,501.38339450533266,250.69169725266633,50.138339450533266,0.5,8,47
promotion,791.3403891859774,351.70683963821216,87.92670990955304,0.4444444444444444,8,47
markdown,931.961250967654,349.48546911287025,116.49515637095675,0.375,8,48
none,477.5079947669834,238.7539973834917,47.75079947669835,0.5,8,48
promotion,669.5957139265963,297.59809507848723,74.39952376962181,0.4444444444444444,8,48
markdown,784.8094744990769,294.3035529371538,98.10118431238462,0.37499999999999994,8,49
none,752.075091757999,376.0375458789995,75.2075091757999,0.5,8,49
promotion,535.6765711412771,238.07847606278983,59.51961901569746,0.4444444444444444,8,49
markdown,551.8191617571636,206.9321856589363,68.97739521964544,0.37499999999999994,8,50
none,608.822693327904,304.411346663952,60.8822693327904,0.5,8,50
promotion,913.0850644453586,405.81558419793714,101.45389604948429,0.4444444444444444,8,50
markdown,1063.4118817440913,398.7794556540342,132.9264852180114,0.375,10,1
none,674.445642147644,337.222821073822,67.4445642147644,0.5,10,1
promotion,853.7962854552582,379.4650157578925,94.86625393947313,0.4444444444444444,10,1
markdown,748.8816068620359,280.8306025732635,93.61020085775449,0.375,10,2
none,797.072122538125,398.5360612690625,79.7072122538125,0.5,10,2
promotion,1051.9989945788002,467.555108701689,116.88877717542225,0.4444444444444445,10,2
markdown,1168.255306704776,438.09574001429104,146.031913338097,0.375,10,3
none,797.072122538125,398.5360612690625,79.7072122538125,0.5,10,3
promotion,625.1008518511712,277.82260082274274,69.45565020568569,0.4444444444444444,10,3
markdown,838.7473996854801,314.53027488205504,104.84342496068501,0.375,10,4
none,536.4908517083535,268.24542585417674,53.64908517083535,0.5,10,4
promotion,1219.7089792217973,542.0928796541322,135.52321991353304,0.4444444444444445,10,4
markdown,763.8592389992768,286.4472146247288,95.4824048749096,0.375,10,5
none,904.3702928797956,452.1851464398978,90.43702928797956,0.5,10,5
promotion,930.0280966566204,413.34582073627575,103.33645518406894,0.4444444444444445,10,5
markdown,614.0829176268695,230.28109411007608,76.76036470335869,0.375,10,6
none,1118.9666335631373,559.4833167815686,111.89666335631372,0.5,10,6
promotion,869.0426476955304,386.24117675356905,96.56029418839226,0.4444444444444444,10,6
markdown,599.1052854896288,224.66448205861082,74.8881606862036,0.375,10,7
none,812.400432586935,406.2002162934675,81.2400432586935,0.5,10,7
promotion,1189.2162547412524,528.5405576627788,132.1351394156947,0.4444444444444444,10,7
markdown,883.6802960972022,331.3801110364509,110.46003701215028,0.37500000000000006,10,8
none,705.1022622452648,352.5511311226324,70.51022622452648,0.5,10,8
promotion,1006.2599078579826,447.22662571465895,111.80665642866474,0.4444444444444445,10,8
markdown,1362.9645244889055,511.1116966833395,170.37056556111318,0.375,10,9
none,582.4757818547838,291.2378909273919,58.247578185478375,0.5,10,9
promotion,640.3472140914436,284.59876181841935,71.14969045460484,0.4444444444444444,10,9
markdown,823.7697675482397,308.9136628305899,102.97122094352996,0.375,10,10
none,735.7588823428847,367.87944117144235,73.57588823428847,0.5,10,10
promotion,1036.7526323385277,460.7789477060123,115.19473692650307,0.44444444444444436,10,10
markdown,973.5460889206468,365.07978334524256,121.69326111508084,0.37500000000000006,10,11
none,1026.9967732702764,513.4983866351382,102.69967732702764,0.5,10,11
promotion,594.6081273706262,264.2702788313894,66.06756970784735,0.4444444444444444,10,11
markdown,763.8592389992766,286.44721462472876,95.48240487490958,0.37500000000000006,10,12
none,827.7287426357452,413.8643713178726,82.77287426357452,0.5,10,12
promotion,1006.2599078579829,447.226625714659,111.80665642866475,0.4444444444444444,10,12
markdown,344.48553915653656,129.1820771837012,43.06069239456707,0.375,10,13
none,1762.755655613161,881.3778278065805,176.2755655613161,0.5,10,13
promotion,503.1299539289914,223.6133128573295,55.903328214332376,0.4444444444444444,10,13
markdown,1108.3447781558132,415.6292918084299,138.54309726947665,0.375,10,14
none,751.0871923916949,375.54359619584744,75.10871923916949,0.5,10,14
promotion,731.8253875330784,325.25572779247926,81.31393194811982,0.4444444444444444,10,14
markdown,1018.4789853323689,381.92961949963836,127.30987316654611,0.37500000000000006,10,15
none,1042.3250833190864,521.1625416595432,104.23250833190865,0.5,10,15
promotion,533.6226784095363,237.16563484868283,59.29140871217071,0.4444444444444445,10,15
markdown,823.7697675482394,308.91366283058983,102.97122094352993,0.37500000000000006,10,16
none,843.0570526845555,421.52852634227776,84.30570526845554,0.5,10,16
promotion,930.0280966566204,413.34582073627575,103.33645518406894,0.4444444444444445,10,16
markdown,464.3065962544624,174.1149735954234,58.0383245318078,0.375,10,17
none,1302.9063541488583,651.4531770744292,130.29063541488583,0.5,10,17
promotion,838.5499232149856,372.68885476221584,93.17221369055396,0.4444444444444445,10,17
markdown,1018.4789853323689,381.92961949963836,127.30987316654611,0.37500000000000006,10,18
none,919.6986029286056,459.8493014643028,91.96986029286057,0.5,10,18
promotion,655.5935763317162,291.37492281409607,72.84373070352402,0.44444444444444436,10,18
markdown,569.1500212151474,213.43125795568028,71.14375265189342,0.375,10,19
none,996.3401531726564,498.1700765863282,99.63401531726564,0.5,10,19
promotion,1036.7526323385275,460.7789477060123,115.19473692650307,0.4444444444444445,10,19
markdown,838.7473996854801,314.53027488205504,104.84342496068501,0.375,10,20
none,1088.3100134655167,544.1550067327584,108.83100134655167,0.5,10,20
promotion,670.8399385719888,298.1510838097728,74.5377709524432,0.4444444444444444,10,20
markdown,524.2171248034252,196.58142180128445,65.52714060042815,0.375,10,21
none,643.7890220500241,321.89451102501204,64.3789022050024,0.5,10,21
promotion,1433.1580505856118,636.9591335936052,159.2397833984013,0.4444444444444444,10,21
markdown,853.7250318227208,320.1468869335203,106.7156289778401,0.375,10,22
none,659.1173320988344,329.5586660494172,65.91173320988344,0.5,10,22
promotion,1082.491719059345,481.1074306930423,120.27685767326058,0.4444444444444445,10,22
markdown,1108.344778155813,415.6292918084299,138.54309726947662,0.37500000000000006,10,23
none,567.1474718059737,283.57373590298687,56.71474718059737,0.5,10,23
