Strategy,Revenue,UnitsSold,Profit,NumFirms,ROI,MarketShare(%)
markdown,1891.02,236.38,709.13,3,0.38,62.82
none,318.72,31.87,159.36,2,0.5,8.47
promotion,972.36,108.04,432.16,3,0.44,28.71
