Strategy,Revenue,Profit,UnitsSold,ROI,Run
markdown,928.6131925089246,348.22994719084676,116.07664906361558,0.37500000000000006,1
none,797.0721225381251,398.53606126906254,79.7072122538125,0.5,1
promotion,869.0426476955306,386.24117675356916,96.56029418839229,0.4444444444444445,1
markdown,1153.2776745675353,432.4791279628257,144.15970932094191,0.375,2
none,613.132401952404,306.566200976202,61.313240195240404,0.5,2
promotion,823.3035609747133,365.9126937665392,91.4781734416348,0.44444444444444436,2
markdown,629.0605497641104,235.89770616154138,78.6325687205138,0.37499999999999994,3
none,1088.3100134655167,544.1550067327584,108.83100134655169,0.5,3
promotion,884.289009935803,393.01733774924577,98.25433443731144,0.4444444444444444,3
markdown,1033.4566174696097,387.5462315511037,129.1820771837012,0.37500000000000006,4
none,628.4607120012139,314.23035600060695,62.846071200121386,0.5,4
promotion,930.0280966566204,413.34582073627575,103.33645518406894,0.4444444444444445,4
markdown,793.814503273758,297.68043872765924,99.22681290921975,0.375,5
none,935.0269129774158,467.5134564887079,93.50269129774159,0.5,5
promotion,869.0426476955308,386.2411767535692,96.5602941883923,0.4444444444444444,5
markdown,629.0605497641102,235.89770616154132,78.63256872051377,0.375,6
none,919.6986029286061,459.84930146430304,91.9698602928606,0.5,6
promotion,1051.9989945788,467.5551087016889,116.88877717542222,0.4444444444444445,6
markdown,1318.031628077183,494.2618605289437,164.75395350964789,0.37500000000000006,7
none,551.8191617571637,275.90958087858183,55.18191617571637,0.5,7
promotion,716.5790252928058,318.4795667968026,79.61989169920065,0.4444444444444445,7
markdown,943.5908246461653,353.84655924231197,117.94885308077066,0.375,8
none,735.7588823428846,367.8794411714423,73.57588823428847,0.5,8
promotion,914.781734416348,406.5696597405991,101.64241493514977,0.4444444444444445,8
markdown,883.6802960972025,331.3801110364509,110.46003701215031,0.37499999999999994,9
none,950.3552230262261,475.17761151311305,95.03552230262261,0.5,9
promotion,762.3181120136232,338.80804978383253,84.70201244595813,0.4444444444444444,9
markdown,778.8368711365175,292.063826676194,97.35460889206469,0.37499999999999994,10
none,1149.6232536607572,574.8116268303786,114.96232536607572,0.5,10
